team,elo,n_matches,last_date
Spain,2214.9,783,2026-06-08
Argentina,2170.0,1069,2026-06-09
France,2119.8,935,2026-06-08
England,2086.7,1090,2026-06-10
Brazil,2056.1,1060,2026-06-13
Colombia,2048.2,638,2026-06-07
Portugal,2042.4,695,2026-06-10
Ecuador,2021.7,591,2026-06-07
Netherlands,2006.3,879,2026-06-08
Germany,2000.6,1031,2026-06-06
Japan,1990.5,790,2026-05-31
Morocco,1989.3,618,2026-06-13
Mexico,1983.6,1004,2026-06-11
Uruguay,1968.7,970,2026-03-31
Norway,1967.9,872,2026-06-07
Croatia,1964.6,396,2026-06-07
Belgium,1953.2,853,2026-06-06
Australia,1950.2,582,2026-06-13
Switzerland,1928.5,885,2026-06-13
Turkey,1911.7,643,2026-06-13
Senegal,1911.5,638,2026-06-09
South Korea,1901.2,1008,2026-06-11
Iran,1893.5,612,2026-06-04
Austria,1886.4,860,2026-06-01
Algeria,1882.3,617,2026-06-10
United States,1878.6,791,2026-06-12
Canada,1867.1,470,2026-06-12
Paraguay,1866.8,784,2026-06-12
Scotland,1859.8,852,2026-06-13
Panama,1849.6,539,2026-06-06
Uzbekistan,1816.5,354,2026-06-08
Ivory Coast,1812.6,636,2026-06-04
Egypt,1808.2,756,2026-06-06
Czech Republic,1775.2,361,2026-06-11
Jordan,1771.8,485,2026-06-07
Sweden,1767.1,1101,2026-06-04
DR Congo,1761.9,524,2026-06-09
Tunisia,1735.9,678,2026-06-06
Iraq,1734.4,655,2026-06-09
New Zealand,1717.8,416,2026-06-06
Saudi Arabia,1690.9,741,2026-06-09
Haiti,1687.8,511,2026-06-13
Bosnia and Herzegovina,1670.7,284,2026-06-12
South Africa,1654.1,481,2026-06-11
Cape Verde,1651.8,235,2026-06-06
Ghana,1623.3,671,2026-06-02
Curaçao,1607.3,385,2026-06-06
Qatar,1587.4,636,2026-06-13
