team,group,elo,R32,Octavos,Cuartos,Semis,Final,Campeon
Argentina,A,2202.5,0.9933,0.87628,0.6897,0.5123,0.36046,0.24008
Spain,F,2194.0,0.99784,0.87466,0.68382,0.49938,0.34454,0.2242
France,K,2148.9,0.9821,0.80816,0.57578,0.37828,0.2295,0.12812
England,H,2090.8,0.97824,0.74162,0.47498,0.27114,0.14068,0.06628
Mexico,J,1999.2,0.98098,0.73202,0.4546,0.2493,0.12512,0.05506
Colombia,G,2076.7,0.95302,0.68968,0.41744,0.228,0.11044,0.05018
Brazil,E,2067.4,0.96148,0.68406,0.4099,0.2174,0.10364,0.04448
Portugal,G,2048.2,0.93362,0.63052,0.35414,0.178,0.078,0.0318
Netherlands,L,2033.6,0.95382,0.6369,0.34216,0.16654,0.0707,0.02706
Germany,I,2030.1,0.96202,0.63662,0.3454,0.16386,0.06844,0.02572
Japan,L,2008.3,0.93838,0.58022,0.28776,0.12874,0.05042,0.01774
Morocco,E,2008.6,0.9187,0.56196,0.28354,0.12724,0.05064,0.01752
Norway,K,2011.3,0.8876,0.5301,0.2607,0.11518,0.04682,0.01678
United States,B,1919.9,0.73368,0.4071,0.19808,0.08294,0.03218,0.01046
Canada,D,1880.0,0.96304,0.53226,0.23148,0.08606,0.0279,0.00792
Croatia,H,1953.9,0.877,0.44754,0.18528,0.06758,0.0214,0.006
Switzerland,D,1947.9,0.9602,0.5146,0.21328,0.07684,0.02322,0.006
Ecuador,I,1951.6,0.89928,0.46036,0.19228,0.06896,0.02208,0.00558
Belgium,C,1936.1,0.87708,0.43594,0.1757,0.06072,0.01736,0.0039
Uruguay,F,1929.3,0.86736,0.40152,0.14668,0.04926,0.01438,0.0033
Australia,B,1908.8,0.7069,0.3086,0.11146,0.03332,0.00836,0.00186
Paraguay,B,1900.7,0.68788,0.2897,0.10144,0.0309,0.008,0.00186
Austria,A,1901.4,0.71294,0.28586,0.09412,0.02794,0.00716,0.00174
South Korea,J,1885.7,0.81886,0.32178,0.10282,0.02816,0.00686,0.00136
Iran,C,1884.8,0.79926,0.32104,0.10626,0.02916,0.00674,0.0012
Algeria,A,1885.2,0.67898,0.2565,0.08124,0.02238,0.00508,0.00088
Turkey,B,1877.9,0.63942,0.24556,0.08004,0.02138,0.00512,0.00086
Senegal,K,1869.0,0.6128,0.20792,0.06328,0.01614,0.0036,0.00064
Egypt,C,1853.9,0.74082,0.2585,0.07254,0.01628,0.00356,0.00048
Scotland,E,1840.5,0.6196,0.18904,0.05288,0.01224,0.00226,0.0004
Ivory Coast,I,1841.2,0.71856,0.22272,0.06102,0.01364,0.00266,0.00024
Sweden,L,1789.7,0.54646,0.12938,0.0279,0.00544,0.00082,0.0001
Panama,H,1783.3,0.51314,0.1168,0.0238,0.00392,0.00048,0.0001
DR Congo,G,1772.2,0.3751,0.07662,0.01572,0.0022,0.0003,4e-05
New Zealand,C,1698.0,0.32822,0.04566,0.00652,0.00054,0.00012,2e-05
Czech Republic,J,1765.1,0.59406,0.12912,0.02408,0.00328,0.00032,2e-05
Uzbekistan,G,1771.9,0.3778,0.07866,0.01494,0.00226,0.00038,2e-05
Jordan,A,1721.4,0.24462,0.03832,0.00554,0.00058,4e-05,0.0
Iraq,K,1704.4,0.18338,0.02484,0.00288,0.00024,2e-05,0.0
Qatar,D,1574.5,0.2247,0.01074,0.00056,4e-05,0.0,0.0
Bosnia and Herzegovina,D,1651.3,0.47552,0.0484,0.00434,0.00038,0.0,0.0
South Africa,J,1664.1,0.2727,0.02812,0.00302,0.00016,0.0,0.0
Haiti,E,1676.5,0.18544,0.0218,0.00266,0.0003,2e-05,0.0
Curaçao,I,1619.2,0.14524,0.01076,0.00068,2e-05,0.0,0.0
Ghana,H,1696.2,0.27898,0.03546,0.00442,0.00028,2e-05,0.0
Cape Verde,F,1699.1,0.33484,0.04364,0.005,0.00044,8e-05,0.0
Saudi Arabia,F,1704.0,0.34354,0.04896,0.00604,0.00052,6e-05,0.0
Tunisia,L,1668.3,0.2215,0.02338,0.0021,0.00014,2e-05,0.0
