team,group,R32,Octavos,Cuartos,Semis,Final,Campeon
Spain,F,0.9983,0.89034,0.72708,0.56626,0.42064,0.301
Argentina,A,0.98602,0.83824,0.63948,0.45746,0.30948,0.19406
France,K,0.96688,0.75844,0.52628,0.33366,0.19704,0.10344
England,H,0.9804,0.7302,0.46966,0.27486,0.1482,0.07124
Mexico,J,0.99388,0.71356,0.43604,0.23788,0.11524,0.0496
Brazil,E,0.95234,0.6448,0.38174,0.20266,0.09852,0.043
Colombia,G,0.92734,0.6303,0.36488,0.19052,0.08968,0.03846
Portugal,G,0.92374,0.61698,0.35178,0.1807,0.0841,0.03378
Ecuador,I,0.95984,0.61758,0.3324,0.15894,0.06718,0.0254
Netherlands,L,0.92722,0.57378,0.29598,0.13548,0.0547,0.01926
Germany,I,0.94646,0.57958,0.28954,0.13026,0.05276,0.01818
Japan,L,0.9137,0.5413,0.26536,0.11552,0.0439,0.01452
Morocco,E,0.91468,0.52484,0.25456,0.11066,0.04136,0.0141
United States,B,0.96462,0.50626,0.22614,0.08914,0.02962,0.00896
Uruguay,F,0.92098,0.4995,0.2114,0.08516,0.02952,0.00854
Belgium,C,0.89684,0.47648,0.2126,0.08006,0.0272,0.00812
Australia,B,0.9736,0.5352,0.23006,0.08646,0.02864,0.0081
Croatia,H,0.89526,0.47786,0.21146,0.0848,0.02872,0.00808
Norway,K,0.80618,0.42516,0.1903,0.07726,0.02668,0.00786
Canada,D,0.9251,0.46382,0.1964,0.07228,0.02408,0.0068
Switzerland,D,0.83796,0.3895,0.15972,0.05346,0.01728,0.00448
South Korea,J,0.96452,0.43248,0.14788,0.04752,0.01208,0.00272
Iran,C,0.81424,0.3448,0.12144,0.03538,0.0085,0.00216
Senegal,K,0.68982,0.28974,0.1053,0.034,0.0099,0.00206
Turkey,B,0.51602,0.20136,0.07452,0.02504,0.0067,0.00174
Austria,A,0.65074,0.25188,0.08388,0.02414,0.0063,0.00098
Algeria,A,0.63862,0.23888,0.0778,0.02178,0.00534,0.00092
Scotland,E,0.83132,0.28782,0.08684,0.02248,0.00474,0.00088
Panama,H,0.68846,0.22704,0.06606,0.01662,0.00354,0.00056
Paraguay,B,0.30886,0.09876,0.0325,0.00874,0.002,0.0004
Egypt,C,0.62912,0.17672,0.04366,0.00894,0.00136,0.00012
Ivory Coast,I,0.64572,0.17516,0.0433,0.00884,0.0016,0.00012
Czech Republic,J,0.50432,0.10296,0.02064,0.00354,0.00064,0.00012
Uzbekistan,G,0.47602,0.13286,0.03206,0.00654,0.0012,0.0001
Jordan,A,0.33574,0.07426,0.01414,0.00234,0.00032,6e-05
Sweden,L,0.45384,0.09618,0.01818,0.0032,0.00042,4e-05
DR Congo,G,0.3212,0.06662,0.01242,0.00214,0.00032,2e-05
Tunisia,L,0.36274,0.06384,0.01032,0.00144,0.00016,2e-05
South Africa,J,0.19982,0.01868,0.00198,0.00018,4e-05,0.0
Qatar,D,0.34228,0.02192,0.00138,2e-05,0.0,0.0
Bosnia and Herzegovina,D,0.5782,0.074,0.00734,0.00056,2e-05,0.0
Iraq,K,0.21496,0.03836,0.00614,0.00078,8e-05,0.0
New Zealand,C,0.37602,0.06226,0.01036,0.0014,0.00014,0.0
Cape Verde,F,0.22904,0.0225,0.00162,0.00014,2e-05,0.0
Curaçao,I,0.1186,0.00842,0.00054,6e-05,0.0,0.0
Ghana,H,0.11164,0.0088,0.00066,4e-05,0.0,0.0
Saudi Arabia,F,0.31214,0.0411,0.00484,0.00056,4e-05,0.0
Haiti,E,0.07466,0.00888,0.00134,0.0001,0.0,0.0
